,school,test_optional?,applies_to_class_year(s),policy_details,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
65,California State Polytechnic University—​San Luis Obispo,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,0.284,1250.0,1420.0,26.0,32.0
66,Trinity University,Yes,2021 2022 2023,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,0.288,1290.0,1450.0,29.0,32.0
67,Case Western Reserve University,Yes,2021,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,0.293,1350.0,1520.0,30.0,34.0
68,University of Rochester,Yes,All / Permanent Policy,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,0.295,1300.0,1500.0,29.0,33.0
69,University of California—​Santa Barbara,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,0.296,1260.0,1460.0,25.0,33.0
70,Wake Forest University,Yes,All / Permanent Policy,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,0.296,1320.0,1490.0,30.0,33.0
71,Skidmore College,Yes,All / Permanent Policy,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,0.3,1220.0,1400.0,28.0,32.0
72,University of California—​San Diego,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,0.302,1250.0,1470.0,26.0,33.0
73,Franklin and Marshall College,Yes,All / Permanent Policy,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,0.304,1250.0,1460.0,28.0,32.0
74,Brandeis University,Yes,All / Permanent Policy,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,0.311,1280.0,1500.0,29.0,33.0
75,Lafayette College,Yes,2021,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,0.315,1250.0,1440.0,28.0,33.0
76,American University,Yes,All / Permanent Policy,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,0.315,1220.0,1380.0,27.0,31.0
77,University of Texas—​Austin,Yes,2021,The University of Texas--Austin has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,53525,0.318,1240.0,1470.0,27.0,33.0
78,Scripps College,Yes,All / Permanent Policy,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,0.32,1333.0,1490.0,30.0,33.0
79,Lehigh University,Yes,2021,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,0.321,1280.0,1450.0,29.0,33.0
80,Macalester College,Yes,All / Permanent Policy,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,0.323,1320.0,1510.0,29.0,33.0
81,Smith College,Yes,All / Permanent Policy,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,0.325,1340.0,1520.0,30.0,33.0
82,Bryn Mawr College,Yes,All / Permanent Policy,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,0.331,1290.0,1510.0,29.0,33.0
83,Trinity College (Hartford),Yes,All / Permanent Policy,Trinity offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6096,0.335,1300.0,1460.0,29.0,32.0
84,Denison University,Yes,All / Permanent Policy,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,0.339,1210.0,1380.0,28.0,31.0
85,San Diego State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,0.34,1110.0,1320.0,22.0,29.0
86,Kenyon College,Yes,2021,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,0.341,1270.0,1460.0,29.0,33.0
87,College of the Holy Cross,Yes,All / Permanent Policy,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,0.342,1260.0,1430.0,28.0,32.0
88,Bucknell University,Yes,2021 2022 2023 2024 2025,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,0.342,1255.0,1430.0,28.0,32.0
89,Emerson College,Yes,All / Permanent Policy,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,0.356,1200.0,1390.0,27.0,31.0
90,Pepperdine University,Yes,2021,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,0.357,1220.0,1420.0,26.0,32.0
91,Hampton University,Yes*,All / Permanent Policy,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,0.36,1040.0,1310.0,19.0,24.0
92,Oberlin College,Yes,2021 2022 2023,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,0.364,1280.0,1480.0,29.0,33.0
93,CUNY--Hunter,Yes (TB),2021,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,31030,0.364,1090.0,1260.0,,
94,Occidental College,Yes,2021,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,0.367,1300.0,1480.0,28.0,32.0
95,Connecticut College,Yes,All / Permanent Policy,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,0.374,1310.0,1450.0,30.0,33.0
96,College of William and Mary,Yes,2021 2022 2023,William and Mary has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,14680,0.377,1320.0,1510.0,30.0,34.0
97,Mount Holyoke College,Yes,All / Permanent Policy,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,0.382,1270.0,1490.0,27.0,32.0
98,Berea College,Yes,2021,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,0.382,1030.0,1213.0,22.0,27.0
99,Pratt Institute,Yes,2021,The Pratt Institute has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,7941,0.385,1100.0,1320.0,26.0,30.0
100,Soka University of America,Yes,2021,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,0.388,1180.0,1410.0,27.0,30.0
101,California State University--Los Angeles,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,39854,0.39,890.0,1080.0,15.0,20.0
102,California State University--Long Beach,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,71297,0.393,1040.0,1250.0,20.0,26.0
